Drug	Condition	DrugCUI	ConditionCUI
ENCAINIDE	Tachycardia, Ventricular	C0085251	C0042514
LEVOSULPIRIDE	Vertigo	C0210380	C0042571
RAMOSETRON	Vomiting	C0526950	C0042963
GRANISETRON	Vomiting	C0061863	C0042963
CLEBOPRIDE	Vomiting	C0055869	C0042963
THIETHYLPERAZINE	Vomiting	C0039865	C0042963
DIENESTROL	Vulvar Lichen Sclerosus	C0012145	C0022783
SULFANILAMIDE	Candidiasis, Vulvovaginal	C0038702	C0700345
TERCONAZOLE	Candidiasis, Vulvovaginal	C0076115	C0700345
TIOCONAZOLE	Candidiasis, Vulvovaginal	C0076705	C0700345
BUTOCONAZOLE	Candidiasis, Vulvovaginal	C0054259	C0700345
FORMALDEHYDE	Warts	C0016564	C3665596
TRENBOLONE	Weight Gain	C0040829	C0043094
LAIDLOMYCIN	Weight Loss	C0064624	
TOCAINIDE	Wolff-Parkinson-White Syndrome	C0085237	C0043202
LIDOCAINE	Wolff-Parkinson-White Syndrome	C0023660	C0043202
OXIBENDAZOLE	Helminths	C0069763	C0018893
SERTRALINE	Stress Disorders, Post-Traumatic	C0074393	
IMATINIB	Asthma	C0935989	C0004096
